day_1,day_2,day_3,day_4,day_5
264.0640753008234,263.4822083998797,262.7803468901723,264.2570418426038,261.92076603965023
267.5942690125804,267.438415022205,265.6696090718235,267.6398872739038,265.4250681111393
266.87115403126506,266.06206007873425,263.65903497897847,266.38273470541935,264.04972866732857
264.83821013739845,263.9209258593861,261.71077367378257,264.2630916278125,262.15680849254136
262.9714984963902,262.33387994389864,260.58486543369975,262.5969663770975,260.92771540402475
262.69958225763673,262.3664191457709,260.9869024693161,262.5680210357242,261.20538614085166
261.2691897684273,260.6177719439597,259.65198135239945,261.0308858482081,259.4534835784282
260.9594479678692,260.19580662778105,259.54076613431357,260.667243342291,258.9107170154581
261.4261456839657,260.6003500029839,259.98445306024144,261.07526534398875,259.1184407118725
259.0213344571483,257.69661154958334,257.20150865150714,258.44024538573143,256.39007400827063
259.021471297528,257.9444078708799,257.7247358486784,258.5572006976402,256.6796786666341
258.1290991707499,256.9570685205764,256.80557181597624,257.58227781126493,255.70932192766634
261.4719223920445,260.82964406451725,260.31513864102186,261.08403033041606,259.22624932471587
258.51941114646183,256.9915522962657,256.30797698256407,257.66360420956994,255.5086635161206
257.72265443448157,256.44135314003927,256.08434379147593,257.07508974702193,255.15320982661095
258.0040198615609,256.9172407679527,256.6056048084543,257.4067188062099,255.59755934806162
256.69800807539133,255.45018946122883,255.16077205812178,256.00785001921264,254.26845754834568
258.5475714561831,257.63547991047494,257.40863457152597,258.0153704109524,256.2663559007536
256.2827911505704,254.86067390327133,254.41563297779678,255.38565121687787,253.5098721001819
254.91311257720494,253.63490819661945,253.38871074712802,254.11129277117504,252.4566044953545
257.3105344235175,256.42776272969553,256.06831906279825,256.6744355194533,255.13650089603465
254.65146656905574,253.26982526565266,252.75028555660862,253.64536568248013,252.06387980768437
256.4929779738198,255.4496637060857,254.88505309723718,255.57663717421502,254.14396881342702
255.40066044589557,254.02593318273097,253.21984971855397,254.2684287398447,252.7387333477102
254.4650395570008,253.1778469241053,252.49456689753885,253.28380459075981,251.9559343544613
253.69033575253115,252.36056415516708,251.90155830883586,252.4340186305755,251.26316192681745
251.52416694581956,250.1730050364677,249.99464440469103,250.29166725206042,249.15178688899573
253.39747573355532,252.3744642568965,252.37738831974733,252.3983032914687,251.27484377397036
253.05210501939342,251.799504194066,251.62377233800498,251.8398865103338,250.56478624573035
254.5931221524184,253.51041225957556,253.03312021723866,253.38163105800885,252.08161864217118
256.5929866850191,255.58244928929048,254.57180386168312,255.20796758487455,253.9275089390863
257.4946999682444,256.53722062922077,255.03009669761474,256.0237955245126,254.79270744730215
255.06818873805355,253.78787413477025,252.14514858898735,253.32665003386256,252.28383991489585
254.0417130391502,253.11273971185975,251.80186649114748,252.63151530913723,251.9146589746627
255.99746455460445,255.48545106644502,254.0533804820526,254.79803701998597,254.21335408807013
255.74381290548095,254.9433398968725,253.39307523502856,254.30448978096342,253.55872411574182
256.70647777468344,255.99243747118106,254.43739780029745,255.32384978012135,254.449590998343
256.42581095375317,255.5941167321929,253.85751868592232,254.95891089165954,253.97096656283514
255.86091225989475,255.08298910543903,253.3911018527105,254.4662567161678,253.59494360361606
257.2799469975875,256.786082865054,255.0660713132305,256.03117050076696,255.32890567204572
254.0518608336252,253.08563811455002,251.34741959009853,252.5069833614671,251.8064110321792
254.03855130616614,253.392189373623,252.08089842964634,252.79279970194995,252.2478725014053
254.10224690186303,253.4799328655243,252.25442643538133,252.96275545356175,252.3386264816604
254.23340480476168,253.59471313560812,252.4417969258438,253.14840463608982,252.38478490237745
251.57771474704145,250.40444533132515,249.42121119241324,250.29390711301266,249.38272303508575
249.4767827908299,248.40461680935067,247.89459830988505,248.34360040424622,247.53305162241526
248.92811768728131,248.0546799477813,247.93974843306728,247.9868287258161,247.2818919086277
248.5870898546442,247.6812929664031,247.7535014741436,247.68628403920025,246.92998166474024
251.31493080310298,250.57496284870632,250.48744982481298,250.46953093719497,249.4802758215754
248.87686016188846,247.51693326610933,247.18594519606847,247.62248041162465,246.40040219309995
248.2911041133106,247.15833944999133,246.9869792839561,247.25342190752076,246.15441360524076
251.86731940540494,251.1593720998627,250.67664245296328,250.88216229905169,249.97220258241703
253.52615610536856,252.79933202955027,251.64814432984556,252.32729033651944,251.34897524915218
251.19031242992986,249.96544698893402,248.6572457566889,249.67646171334187,248.64819268525167
253.25210803754157,252.58152535778805,251.34090886887395,251.97230478515092,251.16037319527226
254.73384447764695,254.34315799142212,252.73686079514562,253.4689496245205,252.82497879755982
